Tag_Full,Value_String,Timestamp,DataType,Value_Numeric,Reason_No_Data
CH-ML:DDGSbuilding.Percent.Balling,4.400000095,2023-02-16T19:00:00.000Z,Numeric,4.400000095,
CH-ML:DDGSbuilding.Percent.Balling,6,2023-02-19T00:00:00.000Z,Numeric,6.0,
CH-ML:DDGSbuilding.Percent.Balling,6.619999886,2023-02-19T09:00:00.000Z,Numeric,6.619999886,
CH-ML:DDGSbuilding.Percent.Balling,3.400000095,2023-02-20T07:00:00.000Z,Numeric,3.400000095,
CH-ML:DDGSbuilding.Percent.Balling,4.199999809,2023-02-21T07:00:00.000Z,Numeric,4.199999809,
CH-ML:DDGSbuilding.Percent.Balling,7.5,2023-02-21T22:00:00.000Z,Numeric,7.5,
CH-ML:DDGSbuilding.Percent.Balling,6.599999905,2023-02-22T07:00:00.000Z,Numeric,6.599999905,
CH-ML:DDGSbuilding.Percent.Balling,4.5,2023-02-22T20:00:00.000Z,Numeric,4.5,
CH-ML:DDGSbuilding.Percent.Balling,6.5,2023-02-23T04:00:00.000Z,Numeric,6.5,
CH-ML:DDGSbuilding.Percent.Balling,5.809999943,2023-02-23T07:00:00.000Z,Numeric,5.809999943,
CH-ML:DDGSbuilding.Percent.Balling,7.199999809,2023-02-24T07:00:00.000Z,Numeric,7.199999809,
CH-ML:DDGSbuilding.Percent.Balling,4.800000191,2023-02-24T19:00:00.000Z,Numeric,4.800000191,
CH-ML:DDGSbuilding.Percent.Balling,6,2023-02-25T09:00:00.000Z,Numeric,6.0,
CH-ML:DDGSbuilding.Percent.Balling,7,2023-02-25T19:00:00.000Z,Numeric,7.0,
CH-ML:DDGSbuilding.Percent.Balling,6.199999809,2023-02-26T07:00:00.000Z,Numeric,6.199999809,
CH-ML:DDGSbuilding.Percent.Balling,4.099999905,2023-02-26T19:00:00.000Z,Numeric,4.099999905,
CH-ML:DDGSbuilding.Percent.Balling,5.21999979,2023-02-28T09:00:00.000Z,Numeric,5.21999979,
CH-ML:DDGSbuilding.Percent.Balling,6.389999866,2023-03-01T07:00:00.000Z,Numeric,6.389999866,
CH-ML:DDGSbuilding.Percent.Balling,8.399999619,2023-03-01T20:30:00.000Z,Numeric,8.399999619,
CH-ML:DDGSbuilding.Percent.Balling,5.300000191,2023-03-02T07:00:00.000Z,Numeric,5.300000191,
CH-ML:DDGSbuilding.Percent.Balling,8.100000381,2023-03-02T22:00:00.000Z,Numeric,8.100000381,
CH-ML:DDGSbuilding.Percent.Balling,6.099999905,2023-03-03T07:00:00.000Z,Numeric,6.099999905,
CH-ML:DDGSbuilding.Percent.Balling,5.230000019,2023-03-04T05:00:00.000Z,Numeric,5.230000019,
CH-ML:DDGSbuilding.Percent.Balling,3.700000048,2023-03-04T07:00:00.000Z,Numeric,3.700000048,
CH-ML:DDGSbuilding.Percent.Balling,7.840000153,2023-03-04T22:00:00.000Z,Numeric,7.840000153,
CH-ML:DDGSbuilding.Percent.Balling,4.5,2023-03-05T07:00:00.000Z,Numeric,4.5,
CH-ML:DDGSbuilding.Percent.Balling,4.320000172,2023-03-05T21:00:00.000Z,Numeric,4.320000172,
CH-ML:DDGSbuilding.Percent.Balling,5.400000095,2023-03-06T09:30:00.000Z,Numeric,5.400000095,
CH-ML:DDGSbuilding.Percent.Balling,6,2023-03-06T20:00:00.000Z,Numeric,6.0,
CH-ML:DDGSbuilding.Percent.Balling,3.799999952,2023-03-07T10:00:00.000Z,Numeric,3.799999952,
CH-ML:DDGSbuilding.Percent.Balling,5.599999905,2023-03-08T21:00:00.000Z,Numeric,5.599999905,
CH-ML:DDGSbuilding.Percent.Balling,7.539999962,2023-03-09T09:00:00.000Z,Numeric,7.539999962,
CH-ML:DDGSbuilding.Percent.Balling,5,2023-03-09T22:00:00.000Z,Numeric,5.0,
CH-ML:DDGSbuilding.Percent.Balling,9.819999695,2023-03-10T10:00:00.000Z,Numeric,9.819999695,
CH-ML:DDGSbuilding.Percent.Balling,17.29999924,2023-03-10T20:00:00.000Z,Numeric,17.29999924,
CH-ML:DDGSbuilding.Percent.Balling,4.46999979,2023-03-11T11:00:00.000Z,Numeric,4.46999979,
CH-ML:DDGSbuilding.Percent.Balling,5.099999905,2023-03-11T20:30:00.000Z,Numeric,5.099999905,
CH-ML:DDGSbuilding.Percent.Balling,5.139999866,2023-03-12T10:00:00.000Z,Numeric,5.139999866,
CH-ML:DDGSbuilding.Percent.Balling,1.899999976,2023-03-13T05:00:00.000Z,Numeric,1.899999976,
CH-ML:DDGSbuilding.Percent.Balling,6.25,2023-03-13T07:00:00.000Z,Numeric,6.25,
CH-ML:DDGSbuilding.Percent.Balling,4.800000191,2023-03-13T19:00:00.000Z,Numeric,4.800000191,
CH-ML:DDGSbuilding.Percent.Balling,11.89999962,2023-03-15T19:00:00.000Z,Numeric,11.89999962,
CH-ML:DDGSbuilding.Percent.Balling,4,2023-03-16T10:00:00.000Z,Numeric,4.0,
CH-ML:DDGSbuilding.Percent.Balling,4.099999905,2023-03-16T19:00:00.000Z,Numeric,4.099999905,
CH-ML:DDGSbuilding.Percent.Balling,2.5,2023-03-17T10:00:00.000Z,Numeric,2.5,
CH-ML:DDGSbuilding.Percent.Balling,3.900000095,2023-03-17T19:00:00.000Z,Numeric,3.900000095,
CH-ML:DDGSbuilding.Percent.Balling,6,2023-03-19T23:00:00.000Z,Numeric,6.0,
CH-ML:DDGSbuilding.Percent.Balling,2.099999905,2023-03-20T07:00:00.000Z,Numeric,2.099999905,
CH-ML:DDGSbuilding.Percent.Balling,3.900000095,2023-03-21T07:00:00.000Z,Numeric,3.900000095,
CH-ML:DDGSbuilding.Percent.Balling,8.510000229,2023-03-21T21:00:00.000Z,Numeric,8.510000229,
CH-ML:DDGSbuilding.Percent.Balling,3.900000095,2023-03-22T07:00:00.000Z,Numeric,3.900000095,
CH-ML:DDGSbuilding.Percent.Balling,2.970000029,2023-03-22T22:00:00.000Z,Numeric,2.970000029,
