Tag_Full,roll_1h_p0005,roll_1h_p0010,roll_1h_p0025,roll_1h_p0050,roll_1h_p0100,roll_1h_p0250,roll_1h_p0500,roll_1h_p0750,roll_1h_p0900,roll_1h_p0950,roll_1h_p0975,roll_1h_p0990,roll_1h_p0995,roll_3h_p0005,roll_3h_p0010,roll_3h_p0025,roll_3h_p0050,roll_3h_p0100,roll_3h_p0250,roll_3h_p0500,roll_3h_p0750,roll_3h_p0900,roll_3h_p0950,roll_3h_p0975,roll_3h_p0990,roll_3h_p0995,roll_6h_p0005,roll_6h_p0010,roll_6h_p0025,roll_6h_p0050,roll_6h_p0100,roll_6h_p0250,roll_6h_p0500,roll_6h_p0750,roll_6h_p0900,roll_6h_p0950,roll_6h_p0975,roll_6h_p0990,roll_6h_p0995,roll_12h_p0005,roll_12h_p0010,roll_12h_p0025,roll_12h_p0050,roll_12h_p0100,roll_12h_p0250,roll_12h_p0500,roll_12h_p0750,roll_12h_p0900,roll_12h_p0950,roll_12h_p0975,roll_12h_p0990,roll_12h_p0995,roll_24h_p0005,roll_24h_p0010,roll_24h_p0025,roll_24h_p0050,roll_24h_p0100,roll_24h_p0250,roll_24h_p0500,roll_24h_p0750,roll_24h_p0900,roll_24h_p0950,roll_24h_p0975,roll_24h_p0990,roll_24h_p0995,roll_48h_p0005,roll_48h_p0010,roll_48h_p0025,roll_48h_p0050,roll_48h_p0100,roll_48h_p0250,roll_48h_p0500,roll_48h_p0750,roll_48h_p0900,roll_48h_p0950,roll_48h_p0975,roll_48h_p0990,roll_48h_p0995,roll_1w_p0005,roll_1w_p0010,roll_1w_p0025,roll_1w_p0050,roll_1w_p0100,roll_1w_p0250,roll_1w_p0500,roll_1w_p0750,roll_1w_p0900,roll_1w_p0950,roll_1w_p0975,roll_1w_p0990,roll_1w_p0995,roll_2w_p0005,roll_2w_p0010,roll_2w_p0025,roll_2w_p0050,roll_2w_p0100,roll_2w_p0250,roll_2w_p0500,roll_2w_p0750,roll_2w_p0900,roll_2w_p0950,roll_2w_p0975,roll_2w_p0990,roll_2w_p0995,roll_1m_p0005,roll_1m_p0010,roll_1m_p0025,roll_1m_p0050,roll_1m_p0100,roll_1m_p0250,roll_1m_p0500,roll_1m_p0750,roll_1m_p0900,roll_1m_p0950,roll_1m_p0975,roll_1m_p0990,roll_1m_p0995
CH-DR_WASTE_WTR:LT41310.MEAS,0.033203125,0.04860960316666666,0.09375,4.680453221,11.651665688333333,25.995769183333334,44.047081588333334,62.30890782666666,75.78210830666667,80.59145100833334,82.99109776833333,87.48435211333333,97.32462183833333,0.033203125,0.05859375,0.119825315,6.296527955222222,13.47779279261111,28.216378,45.24523523111112,59.34562026111112,73.48906834999998,78.78611119666667,81.77325185166667,86.50085915388888,96.54340108222223,0.04296875,0.05859375,0.41976551791666666,8.113419718361108,15.502430385555556,30.44333277722223,45.45706356527777,57.40247472166667,70.54800775333334,76.62862837241666,80.31221029527775,84.76117134111115,95.90629831916665,0.046875,0.07174479152777777,2.2231506321944443,11.050408126569444,18.949590583944453,33.27905993006949,45.95404177568055,54.536278300555566,66.14468737081945,72.74488337819446,77.3650289111111,82.22621239569443,91.86155870208337,0.07281182401388887,0.09860089586805557,6.961252702555553,15.98739881724306,23.721484163138896,36.665133231138896,46.05166868871524,51.4458045629722,60.909698857013886,67.24184329964581,72.0490667025,78.5641990236111,86.20064417534721,0.524201341388889,3.1126725733888896,13.88301832811111,21.955646996555558,29.14808270376041,39.00445368394098,46.09599354049655,49.439520640687505,55.53657155974646,60.48160275545454,64.5416365598611,72.53667554425004,80.05053775020131,15.597421519932537,18.48614953240968,24.0050124110208,29.647742477039685,35.3706164019603,41.12062836757043,45.096760189884876,48.35351914691857,50.07860802435525,51.946475129482806,54.134596687433536,62.65097936002276,65.5086801483431,18.041985208994046,23.751480254225232,30.920663297922157,34.06267124821233,37.19700224540089,40.916611529007994,44.914834879970826,47.83783725151786,49.07676289350196,50.495815976557545,54.18119424303355,56.391260939849616,58.28142828465513,29.016899324858148,29.609497700998602,31.62823022484998,37.273744926463834,39.15827733486328,41.225571092868286,44.20010840163399,47.613826634538405,48.4460982431144,50.21007687441215,50.94748857549097,51.526659755318526,51.956970433620334
CH-DRYER_A:SY18143B.OUT,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,79.91111119611111,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,78.031481425,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,76.8055556086111,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,75.59027777777777,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,74.41921295059028,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,65.66904761866071,75.0677579376389,79.36682692027779,79.97420634920636,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,63.22632275119543,69.2679894178621,74.56560846548115,78.57638888699901,79.8829365079365,80.0,80.0,80.0,80.0,80.0,80.0,63.01989969147684,64.71434413592128,69.7791589507361,71.19947530870138,73.7804679305463,78.05277777777778,79.52777777777777,79.9259259268125,79.99212962962963,80.0,80.0,80.0,80.0
CH-DR_UTIL_WTR:TT35454.MEAS,4.500380674833333,5.081000884500001,6.0425326825,7.328385591666667,9.180829048166666,14.281848431666669,21.600940705,27.693488756666667,33.21425628666667,35.677084605,37.45476214166667,39.26511255666667,40.14384524,4.62592517,5.182900163777777,6.2135073608888876,7.424918068777777,9.255662812055554,14.33118020166667,21.613832685555558,27.65415626166667,33.12202347611112,35.54347991888889,37.347068785000005,39.16799905666667,40.011105855555556,4.914819651166666,5.442231535944443,6.495561056666667,7.673153903722223,9.438901371611111,14.43968113277778,21.65378257972222,27.530874729166666,32.87944878555556,35.21746423444444,36.99762757638888,38.84525669916666,39.785634147500005,5.413053837083334,6.0143296983750005,7.044033289000001,8.316682994583333,9.895246254194447,14.729362991124995,21.73234673345833,27.244586944166663,32.122672081111105,34.465603828333336,36.27940106416667,38.33798413805555,39.45564672666667,6.148703883069433,6.777361171571428,8.01094542609028,9.04684180852084,10.569685638013896,15.06745820184722,21.779249396458326,26.97395177015971,31.05009426020833,33.481113857916654,35.465714044375005,37.49875831604168,38.95295696770831,7.056154728,7.797164530850697,8.753204034451372,9.818670049527775,11.284885771479164,15.374890100628457,21.610461609590278,26.630217711180556,30.463398290809025,32.71078584930555,34.807743456597194,37.00422627392359,37.97705903315974,9.832067884049607,10.293883146798613,10.941747650278248,11.533171566135906,13.115020941562506,15.970498253872005,21.6005358094425,26.251115052632937,29.09655628522817,30.725668793769827,32.38803262756947,34.388851977747976,36.2681834962351,10.914635256212456,11.167351078697685,11.661934439650805,12.376887499599185,14.023494751110125,16.39832355724155,21.926657766121014,25.972188766444905,28.02862083104113,29.159709988805076,30.281376169014898,32.56081951316959,34.03661637326386,12.863194541488225,13.21904555477782,13.457917589664541,13.72688212819115,14.404138166694,16.36171002655969,22.359903860402827,25.59073598436831,27.45219981218545,28.211478776012548,29.070916990497746,29.666935790339405,30.304134877011588
CH-DR_DECANT701:ST17703A.MEAS,0.0,0.0,0.0,0.0,0.0,26.0,2915.0,3157.0,3178.0,3186.0,3208.0,3209.0,3214.0,0.0,0.0,0.0,0.0,0.0,30.0,2908.0,3157.0,3178.0,3186.0,3208.0,3209.0,3214.0,0.0,0.0,0.0,0.0,0.0,31.0,2908.0,3151.0,3178.0,3186.0,3208.0,3209.0,3214.0,0.0,0.0,0.0,0.0,0.0,31.0,2894.0,3151.0,3178.0,3186.0,3208.0,3209.0,3214.0,0.0,0.0,0.0,0.0,0.0,31.0,2880.0,3144.0,3177.0,3186.0,3208.0,3209.0,3214.0,0.0,0.0,0.0,0.0,0.0,31.0,2873.0,3144.0,3173.0,3185.0,3205.0,3209.0,3209.0,0.0,0.0,0.0,0.0,0.0,304.53615119044645,2849.340140318959,3112.9632192940476,3161.0,3169.2272024007934,3181.20636906746,3196.539702400794,3203.406150817262,0.0,0.0,0.0,0.0,0.0,874.6862103066468,2729.4954397716074,3087.3060008457337,3144.0,3161.0,3167.0,3178.0377083432545,3183.4454464384926,0.0,0.0,0.0,0.0,22.216666666666665,1288.1858628766665,2544.682899710685,2981.5476599990093,3129.310710670409,3138.575138906141,3144.1266334373204,3157.3294027824077,3160.0
CH-DR_UTIL_WTR:PT35405.MEAS,209.13298796666666,217.06532286666666,226.5940780666667,234.03494008333334,241.47328441666664,252.14039609999998,264.0706710833333,281.3859253,334.7671051,403.2571156833333,449.17117310000003,482.7651621500001,500.45306396666666,213.0437249055556,220.27654011666664,229.14527978888887,236.6132626,243.74315218888887,253.23282792777783,263.5849982444445,280.6977149055556,334.78576322777775,398.6811625111111,444.4406585722222,476.7383270277777,496.18037923888886,216.43966293611115,222.70935185833335,231.57640711666667,238.18315929166667,245.0063404555556,253.9291258888889,263.62841034166667,280.61117385000006,335.38125271388884,390.7281646750001,437.1861038194445,468.1079474611111,486.6920140611111,221.06310739027776,228.2270429416667,234.41929138888887,240.0397542375001,246.09979205694435,254.6517448402778,263.8472934319446,282.10076819722224,334.67735630138884,381.4474071916668,424.34926859722225,452.617913988889,468.9861102694444,222.9964780106111,231.90666167013893,238.1243002138888,241.59750260277784,246.86513603819446,255.1109429486111,263.84546046875,283.9443782152778,333.2837603881944,371.07120652083364,404.2749483305558,435.31412304652775,448.13986884166644,223.0930782961805,234.21619198229166,239.02284595833316,242.3584125826386,247.27841053993058,255.72198316909711,264.1963715052084,286.57901652743067,334.66663397673625,362.76521216562514,386.072478717361,418.5992286447916,434.0150164486111,237.99186331091272,238.83136647738124,242.25872103363116,245.7183156551589,249.8070533240082,257.4957850171629,264.95087608521834,289.6751208979161,325.5003800926583,348.78809614107143,373.2086592017854,395.09234184662694,402.67158102569454,239.815381223363,240.96537098745023,244.07644883333327,248.50913999905777,252.7029401762891,258.69545816289695,266.5169134819448,287.9355071239084,323.55875243905166,338.97327899186547,365.40081346577364,382.48827435431554,397.4359914835816,244.97295969462985,246.74231969039383,249.33521694539292,251.84694370682976,256.2899225912026,260.336029649189,268.56179924678275,284.798397449329,325.16876497043955,345.28522034509905,355.99237229787144,362.38806298590237,365.4802116711113
CH-DRA_CYCLNS:TT18167B.MEAS,-5.5755500795,-3.923828125,-0.194105424,9.204562186999999,19.38769849166667,105.93652339999998,107.35864765000001,108.55612183333334,109.78931808333333,110.25886281666668,110.88672001666669,111.93969855,113.22204844999999,-5.5755500793333335,-3.923828125,-0.22612759099999996,9.257996187888889,19.405360751666663,105.93652339999996,107.35203679444443,108.52517233333333,109.76520326666667,110.24937988333336,110.78488835555554,111.6473494388889,112.56842507777777,-5.511956506305555,-3.8818900585000002,-0.20539045944444453,9.286064121500003,19.52074140944444,105.88689019999998,107.33300779999993,108.50148307222221,109.71021567500001,110.22686915833334,110.62502225833333,111.30096478333333,112.01337476111111,-5.403991381347223,-3.739007479611111,-0.18072928944444444,9.50826655488889,19.683551814583325,105.80019347083335,107.3027566222222,108.46463182361111,109.61300658611111,110.06707732638887,110.50624677916664,111.01674311527766,111.43004194722225,-5.0073110593333325,-3.6189611234444437,-0.2917880487847223,9.618028647097217,20.516150779055547,105.61628368194445,107.25077528472224,108.36038272013892,109.54026978750001,109.97009849652781,110.37425325902768,110.74524541458332,111.06834629027777,-4.583359836673613,-3.407502192579861,0.5417134523819442,10.152875764281228,21.553968893194448,104.7880082187499,107.14266907534717,108.26757809999984,109.51200984131954,109.9062912177083,110.27463441458332,110.67026194548613,110.87496108437497,-5.01415183611806,-3.1195296407807493,0.21266000513392944,12.745113176274813,44.156451250063455,99.25152907831347,106.54599372007517,107.97230071289681,109.30276726289655,109.64043270664826,110.18873515337275,110.48813947480258,110.54840573214284,-4.0437771813174574,-2.5370437260709293,5.424039430318457,23.88538480961607,52.74763940618509,98.03986337819987,105.57218849417669,107.41784874508902,109.04030913804533,109.5587430496676,109.76356820584795,110.34241497460312,110.43355634518885,-2.061910917452103,2.347803811795602,28.025894288077687,46.18379195776116,64.830783884703,90.66467217928135,103.74225409375107,106.87779141272897,108.2016514879329,109.04203576398666,109.28266493935105,109.65025097767322,109.71609356505672
CH-DRYER_A:TIC18147A.MEAS,0.0,0.0,0.0,9.1412560145,21.237642606666668,112.77707545,113.83964156666667,114.35138701666666,115.32328539999999,116.52169543333332,117.22384770000001,118.33336638333334,120.60909779999999,0.0,0.0,0.05369982227777778,9.163123077944443,21.356981806666667,112.88728545555554,113.89694848888888,114.25853559444444,115.10316636666668,116.2916933611111,117.03803718333332,117.59996286111112,118.4577064611111,0.0,0.0,0.16075891572222223,9.18156406627778,21.429134898055555,112.88977453055557,113.91556740277777,114.20452648611109,115.05551656388894,116.0964177472222,116.95845498,117.44386440277776,117.66618686666665,0.0,0.0,0.3364612303749999,9.404779209291672,21.409052319305555,112.82735655555558,113.9282843263889,114.16109149138892,115.03010823888887,115.94595030138885,116.88684389583335,117.12821113194443,117.50083965694449,0.0,0.0,0.3935620281527778,9.784294638756947,21.444709473541657,112.46124865972227,113.92744859305556,114.11311335416664,114.98478921493059,115.68810007111107,116.85888443888888,117.06196509374998,117.49704715624995,0.0,0.0,0.7584565099687499,10.255845181760412,24.267039348993062,111.9749672947917,113.74832598645834,114.0672164486111,114.90086624437504,115.56063848194451,116.64708969270828,117.02826929236107,117.49262274166661,0.032194734541666666,0.03447068388492063,1.087193008202381,13.100381460464288,48.268245604431506,107.12189322167877,113.01237680089284,114.00907003402772,114.50896597757925,115.38966423253966,116.00008279107152,116.9944568597222,117.2234860156746,0.06742965255208329,0.25125414056448414,7.91444166233632,25.846804167135403,56.54712511969503,105.83699237156733,112.22659402085316,113.82573828102187,114.33987659166668,114.99013027341262,115.86342452961328,116.97626490858127,117.10424366527779,0.6639683429937501,5.28625249220253,29.81141059808212,49.86832471724899,69.57152465085902,96.75711456587537,110.77805135078599,112.95494369033817,113.81806680687949,114.25768654652295,114.5434192586598,116.25378218963192,116.445727367757
CH-DRA_PROC_AIR:SI18179.MEAS,-0.171875,-0.16796875,-0.16015625,5.008489609166666,85.19619624,86.90429688,87.86041132666668,88.60847727666668,89.37972768166667,89.94288762333333,90.30015564000001,90.72089385833333,91.18844604499999,-0.171875,-0.16796875,-0.15625,19.379759046944443,84.4961259611111,86.84572643611112,87.8478677538889,88.59471003166666,89.36872694277777,89.93219417888889,90.29367319722223,90.70728429166668,91.17265023111112,-0.171875,-0.16796875,-0.15625,31.950300057499994,80.98732094041668,86.7543760938889,87.82807032250003,88.5748511425,89.35286458333334,89.9087706675,90.2772377863889,90.68008168555552,91.13757663305555,-0.16871901434722222,-0.1640625,-0.1181911892361111,38.205065197222225,76.45097474263892,86.61769623236111,87.78817399305554,88.5300933025,89.31114249736109,89.87557824458334,90.24174827986111,90.61019123888885,91.05605962541671,-0.1643884462430555,-0.15625,8.945990165277777,42.9731663732986,74.52176874201389,86.32144716069445,87.72961018090292,88.45863178027774,89.19410631388888,89.7985243797222,90.15986469062499,90.53075483097228,90.97356743263894,-0.15625,1.660763704111111,24.806123779878476,48.858936331399306,72.51734646926388,85.6549431019618,87.58292561107639,88.31904265635416,89.10190025934025,89.66788572743063,90.02756979736108,90.45164214256945,90.78846806958333,18.840036343040694,32.4946841439088,49.8463911559534,56.24320711616564,69.51541379634824,83.16898933511534,86.64701134848211,87.96333883715285,88.74823431383935,89.51921382785716,89.7129839940773,89.90594543724198,90.16809244191477,46.319314815629106,49.236134943613536,58.252081773842455,66.69888750369587,70.35632503417162,80.49999642948913,86.31249048910253,87.53420513173658,88.45394395859972,89.19312161352305,89.58116942370079,89.66801801824153,89.70116391347968,51.249406417552535,56.883552134163395,64.27773845178295,69.02785119220486,75.31668910172745,79.53585758986576,84.53679646605241,86.73045387303324,88.09095863727144,88.53651849115397,89.03847286967644,89.52468105543701,89.69164615245235
CH-DRA_PROC_AIR:XI18178B.MEAS,3.80859375,3.80859375,18.25616439166667,25.726969401666665,33.500052133333334,47.977417626666664,92.441474915,371.4757487166667,836.5010681166665,3464.476318333333,4816.659261,4920.527262333333,4956.506347666666,3.80859375,3.80859375,18.761718804444442,26.566067271666665,34.15637207,48.573282985000006,96.04421457111113,383.5632264833332,894.2411262388889,3283.2279247888887,4807.6421441111115,4884.223904222222,4915.4686686666655,3.80859375,3.900024414083333,20.58585611972222,27.810567220277775,35.10656738333333,49.411254883611115,101.5976960936111,392.4694730944445,944.5832604966666,3136.348485394445,4799.065110972222,4866.758178666668,4896.793409472222,3.80859375,5.310506184986111,23.840055677500015,29.888115776944442,36.86044989722222,50.940158473749996,113.04107527972226,396.13432863055556,987.2932065763885,2992.4852414444445,4759.125996930555,4849.087999222222,4878.4453125,3.80859375,9.813984857659722,26.92415321858335,33.255442871111114,38.688839833888856,53.15334659187501,133.16366741472217,406.2473475131945,1042.618854062292,2793.867588736111,4213.323730501739,4837.152796444446,4857.346499972221,3.80859375,17.983678458104166,31.20178985586808,36.31484872152782,41.717263031702934,59.31838730996534,141.44405047104155,421.19553610618084,1163.186833919098,2635.3034104583357,3770.962898012084,4718.316079498607,4833.984386892361,25.384964339502933,30.583381883709677,39.35585620418642,43.65802148410971,54.4508474536409,75.03388139417673,152.1566612416767,436.9166644244056,1505.1248616207322,2359.643841855258,2928.1726929309934,3655.025990440559,4187.59802975295,35.195501053864994,39.772774898452376,43.11365700826484,52.00586304566958,61.050817278006186,80.56314537148806,162.57412448245003,472.6166798531779,1529.9314452461795,2194.9386852195967,2558.7998495837587,3114.7050338505987,3286.7339785575905,43.365319596782264,51.217752599082985,56.051849719253326,62.417949324773616,68.30855318230225,84.08946796285039,177.788096868565,666.4666652449888,1330.934431292345,1805.360665912559,2359.6964620015965,2490.8228135855734,2566.5178978247627
CH-DRA_COMB_AIR:PT18215B.MEAS,-3.811271667333333,-3.7761515378333335,-3.730661829166667,-3.549088438333333,-3.529973944,-3.506399591833333,-3.4560187656666663,-1.5223926503333332,0.03851700466666667,0.1079490445,0.130896444,0.15365910783333334,0.16923737049999998,-3.804381410222222,-3.7653862237222224,-3.738569802611111,-3.529084113,-3.5185177324444443,-3.504643983333333,-3.4657840331666665,-1.5312992798888887,0.022877630777777783,0.10461776822222221,0.12682681572222224,0.14761490205555558,0.1614381133333333,-3.8028937577499997,-3.760570274416667,-3.741109530166667,-3.521412663999999,-3.514052629527777,-3.5038336448888887,-3.3357243538055554,-1.5407413509166663,0.010564061972222228,0.10116922894444443,0.12330203958333333,0.14311451513888898,0.1557217650277778,-3.802583456055556,-3.7579257885416673,-3.7417789597916666,-3.5159880022083336,-3.5107754501944437,-3.503099289208334,-3.0682163025000007,-1.5578118529722227,-0.011136236444444439,0.09758053313888888,0.11941378398611116,0.13737131698611113,0.146443689,-3.7770079026527767,-3.755089374076391,-3.698813602319443,-3.5118970291875,-3.508182651506944,-3.5022811177916657,-2.9657927594097218,-1.5728394653958333,-0.03914331175000002,0.09210756544444441,0.11524039201388885,0.13134050986111104,0.13714978802083333,-3.7559618635347243,-3.751290716236109,-3.5283499004097236,-3.509071068642361,-3.506260532499998,-3.5008987693194467,-2.871319690211804,-1.5948143680034716,-0.3592206849895832,0.08727772889930555,0.10980737905208333,0.12791679367708336,0.13338987430555543,-3.7499205091597245,-3.742681263578374,-3.5078825619573415,-3.505123717685514,-3.5022361219583273,-3.2867937604801614,-2.7789210704821454,-1.735166732863094,-0.6315170734791671,-0.017139589183531746,0.10078589942460314,0.12526019102480165,0.3241080953640865,-3.6313095179657684,-3.5086585963328334,-3.5040594947440473,-3.4946000762991125,-3.40041056561458,-3.145688150237095,-2.7414564069325396,-1.8352825760456353,-0.7325930766438489,-0.3573167168397818,-0.024998112929067555,0.10566012981498002,0.12075283430803556,-3.5036840282671604,-3.4809688636252534,-3.3356229016757113,-3.284035547287728,-3.238185385618001,-3.0943716401545824,-2.7123485827789344,-1.754552920187492,-1.1539509128361147,-0.7267209133928242,-0.40064109142268617,-0.24053276340624924,-0.2394608664719911
