Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
3825,"PRESSURE SWITCH, ASHCROFT, LPS-N4-G-B25-XFM-15PSIG, 1/4"" NPT, 0-15PSIG,",PSH-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
3826,"PRESSURE SWITCH, ASHCROFT, LPS-N4-G-B25-XFM-15PSIG, 1/4"" NPT, 0-15PSIG,",PSL-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
3827,PRESSURE SWITCH - LOW,PSL-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
6951,"PSV, MARCER, 3/4""x 1"", 110PSIG, 18.2USGPM",PSV-18621,No,,DRYER A,,0,$0.00,1622.52,1,"$1,622.52"
3635,PRESSURE TRANSMITTER,PT-18125,No,,DRYER A,,0,$0.00,67.5,1,$67.50
3828,PRESSURE TRANSMITTER,PT-18125,No,,DRYER A,,0,$0.00,135,0,$135.00
3636,PRESSURE TRANSMITTER,PT-18133,No,,DRYER A,,0,$0.00,101.25,1,$101.25
3637,PRESSURE TRANSMITTER,PT-18140,Yes,,DRYER A,,0,$0.00,0,1,$0.00
3638,PRESSURE TRANSMITTER,PT-18160,No,,DRYER A,,0,$0.00,0,1,$0.00
3639,PRESSURE TRANSMITTER,PT-18164,No,,DRYER A,,0,$0.00,45,1,$45.00
3642,PRESSURE TRANSMITTER,PT-18165A,No,,DRYER A,,0,$0.00,0,1,$0.00
3643,PRESSURE TRANSMITTER,PT-18165B,No,,DRYER A,,0,$0.00,0,1,$0.00
3644,PRESSURE TRANSMITTER,PT-18215A,Yes,,DRYER A,,0,$0.00,0,1,$0.00
3645,PRESSURE TRANSMITTER,PT-18215B,No,,DRYER A,,0,$0.00,0,1,$0.00
3646,PRESSURE TRANSMITTER,PT-18603,No,,DRYER A,,0,$0.00,22.5,1,$22.50
4611,CY-1823 (AIR INTAKE PRESSURE TRANSMITTER),PT-18810,No,,DDG,,0,$0.00,67.5,1,$67.50
6843,"CONTROL VALVE, FISHER, 2"", MODEL 109863EGR",PV-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
6844,"CONTROL VALVE, FISHER, 1"", MODEL HSR",PV-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
6923,"VALVE, BUTTERFLY, CONTROL EQUIP INC., MODEL#BF=6078-3, 12"" DIA.",PV-18215,No,,DRYER A,,0,$0.00,0,1,$0.00
6924,"ACTUATOR, PNEUMATIC, JAMESBURY, MODEL#VPVL3000SR4/5-BD",PV-18215,No,,DRYER A,,0,$0.00,0,0,$0.00
6925,"POSITIONER, TELEMECHANIQUE, MODEL# XS1M18MA250",PV-18215,No,,DRYER A,,0,$0.00,0,0,$0.00
4850,COOLING TUBE - TO CY-1823 CYCLONE,RC-1802,No,,DDG,,141,$141.00,76422.45,1,"$76,422.45"
4855,DC-1802 BAGHOUSE COOLER ROTARY VALVE (MCC-3814),RV-1802,No,,DDG,,0,$0.00,13663.5,1,"$13,663.50"
4857,"DRYER D, CV-1812D DISCHARGE AIRLOCK",RV-1807D,No,,DRYER D,,0,$0.00,4973.04,1,"$4,973.04"
4859,"DRYER D, CV-1813D CONVEYOR DISCHARGE AIRLOCK",RV-1808D,No,,DRYER D,,25.5,$25.50,11244.09,1,"$11,244.09"
4860,CV-1803D DISCHARGE TO COOLING TUBE,RV-1812,No,,DRYER D,,620,$620.00,4113.5,1,"$4,113.50"
4861,CV-1803D DISCHARGE AIRLOCK,RV-1812D,No,,DRYER D,,1514,"$1,514.00",36440.61,1,"$36,440.61"
4862,PRODUCT CYCLONE ROTARY VALVE (MCC-3805),RV-1823,No,,DDG,,0,$0.00,17710.9,1,"$17,710.90"
4863,DDGS COOLER BLOWER ROTARY VALVE,RV-1824,No,,DDG,,51,$51.00,13247.3,1,"$13,247.30"
2872,ROTARY VALVE - SWISS COMBI 600x420x420,RV-1828,No,,DRYER A,,0,$0.00,14855.63,1,$0.00
3573,MOTOR / 5HP / 1800RPM / NEMA / 575V/3PH/60HZ / FRAME# 182/4TC TEFC Brake Motor,RV-1828,No,,DRYER A,,0,$0.00,0,0,$0.00
3575,GEARBOX,RV-1828,No,,DRYER A,,0,$0.00,0,0,$0.00
2873,ROTARY VALVE - SWISS COMBI 600x420x420,RV-1830,No,,DRYER A,,0,$0.00,14855.63,1,$0.00
3574,MOTOR / 5HP / 1755RPM / NEMA / 575V/3PH/60HZ / FRAME# 184TC,RV-1830,No,,DRYER A,,0,$0.00,0,0,$0.00
3576,GEARBOX,RV-1830,No,,DRYER A,,0,$0.00,0,0,$0.00
2874,DRYER A - CYCLONE ROTARY VALVE,RV-1831,No,,DRYER A,,0,$0.00,14855.63,1,$0.00
3579,GEARBOX,RV-1831,No,,DRYER A,,0,$0.00,0,0,$0.00
3580,MOTOR / 5HP / 1755RPM / NEMA / 575V/3PH/60HZ / FRAME# 184TC,RV-1831,No,,DRYER A,,0,$0.00,0,0,$0.00
2875,ROTARY VALVE - SWISS COMBI 600x420x420,RV-1832,No,,DRYER A,,0,$0.00,14855.63,1,$0.00
3577,MOTOR / 5HP / 1755RPM / NEMA / 575V/3PH/60HZ / FRAME# 184TC,RV-1832,No,,DRYER A,,0,$0.00,0,0,$0.00
3578,GEARBOX,RV-1832,No,,DRYER A,,0,$0.00,0,0,$0.00
2876,"ROTARY VALVE, KICE, MODEL VJX 16x12x12",RV-1834,Yes,,DRYER A,,0,$0.00,1312.94,1,"$1,312.94"
3060,MOTOR / 1HP / 1725RPM / TEFC / 575V/3PH/60HZ / FRAME# 145C,RV-1834,Yes,,DRYER A,,0,$0.00,0,0,$0.00
3411,"GEARBOX, SM CYCLODRIVE CNHX-6100-Y",RV-1834,Yes,,DRYER A,,0,$0.00,0,0,$0.00
2931,CV-1836 - DDG ROTARY VALVE,RV-1836,No,,DRYER A,,0,$0.00,14855.63,1,$0.00
3270,MOTOR / 3HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 182TC,RV-1836,No,,DRYER A,,0,$0.00,0,0,$0.00
3274,SM CYCLODRIVE CNHX-6120-Y,RV-1836,No,,DRYER A,,0,$0.00,0,0,$0.00
3653,COMPACT SPEED MONITOR,SSL-18141,No,,DRYER A,,0,$0.00,90,1,$90.00
3667,INDUCTIVE SENSOR,SSL-18149,No,,DRYER A,,0,$0.00,0,1,$0.00
3654,COMPACT SPEED MONITOR,SSL-18150,No,,DRYER A,,0,$0.00,0,1,$0.00
3668,INDUCTIVE SENSOR,SSL-18151,No,,DRYER A,,0,$0.00,0,1,$0.00
3670,INDUCTIVE SENSOR,SSL-18152,No,,DRYER A,,0,$0.00,0,1,$0.00
3660,COMPACT SPEED MONITOR,SSL-18153A,No,,DRYER A,,0,$0.00,0,1,$0.00
3661,COMPACT SPEED MONITOR,SSL-18153B,No,,DRYER A,,0,$0.00,0,1,$0.00
3672,INDUCTIVE SENSOR,SSL-18154,No,,DRYER A,,0,$0.00,0,1,$0.00
3662,COMPACT SPEED MONITOR,SSL-18155,No,,DRYER A,,0,$0.00,0,1,$0.00
3664,COMPACT SPEED MONITOR,SSL-18156,No,,DRYER A,,0,$0.00,0,1,$0.00
3671,INDUCTIVE SENSOR,SSL-18170,No,,DRYER A,,0,$0.00,0,1,$0.00
3835,INDUCTIVE SENSOR,SSL-18171,No,,DRYER A,,0,$0.00,0,1,$0.00
3665,COMPACT SPEED MONITOR,SSL-18172,No,,DRYER A,,0,$0.00,0,1,$0.00
3666,COMPACT SPEED MONITOR,SSL-18173,No,,DRYER A,,0,$0.00,0,1,$0.00
3836,PROXIMITY SPEED SWITCH,SSL-18216,No,,DRYER A,,0,$0.00,0,1,$0.00
3673,PULSER DISC SENSOR SWITCH,SSL-18222,No,,DRYER A,,0,$0.00,0,1,$0.00
3838,PROXIMITY SPEED SWITCH,SSL-18510,No,,DRYER A,,0,$0.00,0,1,$0.00
3846,PROXIMITY SPEED SWITCH,SSL-18511,No,,DRYER A,,0,$0.00,0,1,$0.00
3674,PULSER DISC SENSOR SWITCH,SSL-18513,No,,DRYER A,,0,$0.00,0,1,$0.00
4964,DC-1802 (Bag House Cooler Rotary Valve Speed Switch - Low),SSL-18801,No,,DDG,,0,$0.00,0,1,$0.00
4965,CV-1805 (Product Discharge Conveyor Speed Switch - Low),SSL-18802,No,,DDG,,0,$0.00,0,1,$0.00
4966,BE-1805 (Product Bucket Elevator Speed Switch - Low),SSL-18803,No,,DDG,,0,$0.00,0,1,$0.00
4967,DC-1802 (Bag House Cooler Discharge Conveyor Speed Switch - Low),SSL-18804,No,,DDG,,0,$0.00,0,1,$0.00
4968,RV-1823 PRODUCT CYCLONE RV SPEED SWITCH,SSL-18805,No,,DDG,,0,$0.00,68,1,$68.00
4969,CV-1823 PRODUCT CYCLONE CONVEYOR SPEED SWITCH,SSL-18806,No,,DDG,,0,$0.00,34,1,$34.00
5000,"STACK, FENCO, 250' SELF SUPPORTING,",ST-1801D,No,,TGF,,-1017.92,"-$1,017.92",161101.91,1,"$161,101.91"
3868,TEMPERATURE ELEMENT,TE-18179A,No,,DRYER A,,0,$0.00,0,1,$0.00
3898,TEMPERATURE ELEMENT,TE-18179B,No,,DRYER A,,0,$0.00,0,1,$0.00
3899,TEMPERATURE ELEMENT,TE-18179C,No,,DRYER A,,0,$0.00,0,1,$0.00
3900,TEMPERATURE ELEMENT,TE-18179D,No,,DRYER A,,0,$0.00,0,1,$0.00
3908,TEMPERATURE ELEMENT,TE-18179E,No,,DRYER A,,0,$0.00,0,1,$0.00
3958,TEMPERATURE ELEMENT,TE-18180A,No,,DRYER A,,0,$0.00,0,1,$0.00
3960,TEMPERATURE ELEMENT,TE-18180B,No,,DRYER A,,0,$0.00,0,1,$0.00
3967,TEMPERATURE ELEMENT,TE-18180C,No,,DRYER A,,0,$0.00,0,1,$0.00
3981,TEMPERATURE ELEMENT,TE-18180D,No,,DRYER A,,0,$0.00,0,1,$0.00
3982,TEMPERATURE ELEMENT,TE-18180E,No,,DRYER A,,0,$0.00,0,1,$0.00
3864,TEMPERATURE ELEMENT,TE-18616,No,,,,0,$0.00,0,1,$0.00
5472,DRAIN SEAL TANK,TK-1844,No,,TGF,,67.5,$67.50,67.5,1,$67.50
5473,CONDENSATE COLLECTOR TANK,TK-1845,No,,TGF,,0,$0.00,0,1,$0.00
5540,TEMPERATURE SWITCH HIGH E-1824,TSH-18903,No,,,,180,$180.00,1184,1,"$1,184.00"
6892,"TEMP TRANSMITTER, E&H, iTEMP TMT72",TT-18117A,No,,DRYER A,,0,$0.00,45,1,$45.00
6893,"TEMP TRANSMITTER, E&H, iTEMP TMT72",TT-18117B,No,,DRYER A,,0,$0.00,45,1,$45.00
6894,"TEMP TRANSMITTER, E&H, iTEMP TMT72",TT-18118,No,,DRYER A,,0,$0.00,45,1,$45.00
3675,TEMPERATURE TRANSMITTER,TT-18134,No,,DRYER A,,0,$0.00,0,1,$0.00
3983,TEMPERATURE TRANSMITTER,TT-18134,No,,DRYER A,,0,$0.00,0,0,$0.00
3676,TEMPERATURE TRANSMITTER,TT-18135,No,,DRYER A,,0,$0.00,0,1,$0.00
4001,TEMPERATURE TRANSMITTER,TT-18135,No,,DRYER A,,0,$0.00,0,0,$0.00
4002,TEMPERATURE TRANSMITTER,TT-18140,No,,DRYER A,,0,$0.00,0,1,$0.00
4074,TEMPERATURE TRANSMITTER,TT-18147A,No,,DRYER A,,0,$0.00,0,1,$0.00
4075,TEMPERATURE TRANSMITTER,TT-18147B,No,,DRYER A,,0,$0.00,0,1,$0.00
4077,TEMPERATURE TRANSMITTER,TT-18166A,No,,DRYER A,,0,$0.00,0,1,$0.00
4078,TEMPERATURE TRANSMITTER,TT-18166B,No,,DRYER A,,0,$0.00,0,1,$0.00
4079,TEMPERATURE TRANSMITTER,TT-18166C,No,,DRYER A,,0,$0.00,0,1,$0.00
4084,TEMPERATURE TRANSMITTER,TT-18167A,No,,DRYER A,,0,$0.00,0,1,$0.00
4085,TEMPERATURE TRANSMITTER,TT-18167B,No,,DRYER A,,0,$0.00,0,1,$0.00
4114,TEMPERATURE TRANSMITTER,TT-18167C,No,,DRYER A,,0,$0.00,0,1,$0.00
4117,TEMPERATURE TRANSMITTER,TT-18168A,No,,DRYER A,,0,$0.00,0,1,$0.00
4119,TEMPERATURE TRANSMITTER,TT-18168B,No,,DRYER A,,0,$0.00,0,1,$0.00
4120,TEMPERATURE TRANSMITTER,TT-18168C,No,,DRYER A,,0,$0.00,0,1,$0.00
4131,TEMPERATURE TRANSMITTER,TT-18169A,No,,DRYER A,,0,$0.00,0,1,$0.00
4135,TEMPERATURE TRANSMITTER,TT-18169B,No,,DRYER A,,0,$0.00,0,1,$0.00
4140,TEMPERATURE TRANSMITTER,TT-18169C,No,,DRYER A,,0,$0.00,0,1,$0.00
4003,TEMPERATURE TRANSMITTER,TT-18217,No,,DRYER A,,0,$0.00,0,1,$0.00
4072,TEMPERATURE TRANSMITTER,TT-18218,No,,DRYER A,,0,$0.00,0,1,$0.00
4073,TEMPERATURE TRANSMITTER,TT-18603,No,,DRYER A,,0,$0.00,245,1,$245.00
5631,TEMPERATURE TRANSMITTER,TT-18910,No,,DRYER A,,0,$0.00,79,1,$79.00
6917,"ACTUATOR, PNEUMATIC, JAMESBURY, MODEL#VPVL450SR4/5-BD",TV-18117A,No,,DRYER A,,0,$0.00,0,1,$0.00
6918,"POSITIONER, TELEMECHANIQUE, MODEL# XS1M18MA250",TV-18117A,No,,DRYER A,,0,$0.00,0,0,$0.00
6919,"VALVE, BUTTERFLY, COMENCO, MODEL#PAH-1285-56.0-KZI, 24"" DIA",TV-18117A,No,,DRYER A,,0,$0.00,996.65,0,$996.65
6920,"ACTUATOR, PNEUMATIC, JAMESBURY, MODEL#VPVL600SR4/5-BD",TV-18117B,No,,DRYER A,,0,$0.00,0,1,$0.00
6921,"POSITIONER, TELEMECHANIQUE, MODEL# XS1M18MA250",TV-18117B,No,,DRYER A,,0,$0.00,0,0,$0.00
6922,"VALVE, BUTTERFLY, CONTROL EQUIP INC., MODEL#BF=6078-1, 30"" DIA.",TV-18117B,No,,DRYER A,,0,$0.00,0,0,$0.00
6663,STEAM UNIT HEATER,UH-1800-1,No,,DRYER A,,0,$0.00,0,1,$0.00
6664,STEAM UNIT HEATER,UH-1800-2,No,,DRYER A,,0,$0.00,0,1,$0.00
6312,DRYER D COMBUSTION CHAMBER,V-1801D,No,,DRYER D,,0,$0.00,9689.16,1,"$9,689.16"
3605,MIXING CHAMBER - DRYER A,V-1825,No,,DRYER A,,0,$0.00,30255.45,1,"$30,255.45"
4731,VIBRATION TRANSMITTER,VT-18179A,No,,DRYER A,,0,$0.00,0,1,$0.00
4789,VIBRATION TRANSMITTER,VT-18179B,No,,DRYER A,,0,$0.00,0,1,$0.00
4866,VIBRATION TRANSMITTER,VT-18180A,No,,DRYER A,,0,$0.00,0,1,$0.00
4869,VIBRATION TRANSMITTER,VT-18180B,No,,DRYER A,,0,$0.00,0,1,$0.00
4873,WEIGHT ELEMENT,WE-18153A,No,,DRYER A,,0,$0.00,0,1,$0.00
4880,WEIGHT ELEMENT,WE-18153B,No,,DRYER A,,0,$0.00,0,1,$0.00
5525,WEIGHT TRANSMITTER,WT-18153,No,,DRYER A,,0,$0.00,0,1,$0.00
5530,PARTICULATE MONITOR,XE-18178A,No,,DRYER A,,0,$0.00,0,1,$0.00
5539,PARTICULATE MONITOR,XE-18178B,No,,DRYER A,,0,$0.00,0,1,$0.00
5800,PARTICULATE MONITOR,XE-18223A,No,,DRYER A,,0,$0.00,45,1,$45.00
6648,PARTICULATE MONITOR,XE-18223B,No,,DRYER A,,0,$0.00,45,1,$45.00
6933,"VALVE, CONTROL, MAXON, CMA11(5000CP), 4""",XV-18111,No,,DRYER A,,0,$0.00,0,1,$0.00
6932,"VALVE, SOLENOID, ASCO, JKP8214G251C, 1"", NC",XV-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
6934,"VALVE, CONTROL, MAXON, SMA21, 2""",XV-18116,No,,DRYER A,,0,$0.00,0,1,$0.00
6264,PNEUMATIC CONTROL VALVE,XV-18119A,No,,DRYER A,,0,$0.00,0,1,$0.00
6277,PNEUMATIC CONTROL VALVE,XV-18120,No,,DRYER A,,0,$0.00,0,1,$0.00
6382,PNEUMATIC CONTROL VALVE,XV-18121,No,,DRYER A,,0,$0.00,0,1,$0.00
6383,PNEUMATIC CONTROL VALVE,XV-18142A,No,,DRYER A,,0,$0.00,0,1,$0.00
6397,PNEUMATIC CONTROL VALVE,XV-18148A,No,,DRYER A,,0,$0.00,0,1,$0.00
6891,PNEUMATIC CONTROL VALVE,XV-18174A,No,,DRYER A,,0,$0.00,307.5,1,$307.50
6399,PNEUMATIC CONTROL VALVE,XV-18174B,No,,DRYER A,,0,$0.00,541.44,1,$541.44
6400,PNEUMATIC CONTROL VALVE,XV-18176A,No,,DRYER A,,0,$0.00,1207.5,1,"$1,207.50"
6926,"VALVE, BUTTERFLY, CONTROL EQUIP INC., MODEL#BF=6078-4, 42"" DIA.",XV-18182,No,,DRYER A,,0,$0.00,0,1,$0.00
6928,"ACTUATOR, PNEUMATIC, JAMESBURY, MODEL#VPVL650SR4/5-BD",XV-18182,No,,DRYER A,,0,$0.00,0,0,$0.00
6930,"POSITIONER, TELEMECHANIQUE, MODEL# XS1M18MA250",XV-18182,No,,DRYER A,,0,$0.00,0,0,$0.00
6927,"VALVE, BUTTERFLY, CONTROL EQUIP INC., MODEL#BF=6078-5, 48"" DIA.",XV-18183,No,,DRYER A,,0,$0.00,0,1,$0.00
6929,"ACTUATOR, PNEUMATIC, JAMESBURY, MODEL#VPVL650SR4/5-BD",XV-18183,No,,DRYER A,,0,$0.00,0,0,$0.00
6931,"POSITIONER, TELEMECHANIQUE, MODEL# XS1M18MA250",XV-18183,No,,DRYER A,,0,$0.00,0,0,$0.00
6251,PNEUMATIC CONTROL VALVE,XV-18211,No,,DRYER A,,0,$0.00,0,1,$0.00
6495,LIMIT SWITCH,XZSC-18111,No,,DRYER A,,0,$0.00,0,1,$0.00
6508,LIMIT SWITCH,XZSC-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
6509,LIMIT SWITCH,XZSC-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
6616,LIMIT SWITCH,XZSC-18114,No,,DRYER A,,0,$0.00,0,1,$0.00
6617,LIMIT SWITCH,XZSC-18119,No,,DRYER A,,0,$0.00,0,1,$0.00
6618,LIMIT SWITCH,XZSC-18120,No,,DRYER A,,0,$0.00,0,1,$0.00
6619,LIMIT SWITCH,XZSC-18121,No,,DRYER A,,0,$0.00,0,1,$0.00
6620,LIMIT SWITCH,XZSC-18142,No,,DRYER A,,0,$0.00,0,1,$0.00
6621,LIMIT SWITCH,XZSC-18174,No,,DRYER A,,0,$0.00,0,1,$0.00
6622,LIMIT SWITCH,XZSC-18176,No,,DRYER A,,0,$0.00,0,1,$0.00
6630,LIMIT SWITCH,XZSO-18111,No,,DRYER A,,0,$0.00,0,1,$0.00
6631,LIMIT SWITCH,XZSO-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
6632,LIMIT SWITCH,XZSO-18112,No,,DRYER A,,0,$0.00,0,0,$0.00
6633,LIMIT SWITCH,XZSO-18113,No,,DRYER A,,0,$0.00,0,1,$0.00
6634,LIMIT SWITCH,XZSO-18119,No,,DRYER A,,0,$0.00,0,1,$0.00
6635,LIMIT SWITCH,XZSO-18120,No,,DRYER A,,0,$0.00,0,1,$0.00
6636,LIMIT SWITCH,XZSO-18121,No,,DRYER A,,0,$0.00,0,1,$0.00
6637,LIMIT SWITCH,XZSO-18142,No,,DRYER A,,0,$0.00,0,1,$0.00
6638,LIMIT SWITCH,XZSO-18174,No,,DRYER A,,0,$0.00,0,1,$0.00
6639,LIMIT SWITCH,XZSO-18176,No,,DRYER A,,0,$0.00,0,1,$0.00
