Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
2503,"AMF-BRUNS, SCREW, 16"" DIA, 30.8 M^3/HR, xx",CV-1826B,No,,DRYER A,,0,$0.00,0,0,$0.00
2508,SEW PARALLEL SHAFT HELICAL GEAR UNIT FHZ127 R77 AM213/215,CV-1826B,No,,DRYER A,,0,$0.00,0,0,$0.00
2488,5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#184T,CV-1827,No,,DRYER A,,0,$0.00,0,1,$0.00
2509,DORRIS 115TR25 SHAFT MOUNTED SPEED REDUCER,CV-1827,No,,DRYER A,,0,$0.00,0,0,$0.00
2522,"CONTINENTAL , SCREW, 16"" DIA x 14'-5 1/2"" LG, 24158 KG/HR, 40 RPM",CV-1827,No,,DRYER A,,0,$0.00,0,0,$0.00
2489,40 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#324T,CV-1828,Yes,,DRYER A,,0,$0.00,0,1,$0.00
2514,DORRIS 307TR25F2 SHAFT MOUNTED SPEED REDUCER,CV-1828,Yes,,DRYER A,,0,$0.00,0,0,$0.00
2523,"CONTINENTAL , SCREW, 26"" DIA x 31'-5 5/8"" LG, 80000 KG/HR, 60 RPM",CV-1828,Yes,,DRYER A,,0,$0.00,6155.1,0,"$6,155.10"
2490,20 HP / 1760 RPM / TEFC / 575V/3PH/60HZ / FRAME#256T,CV-1830,No,,DRYER A,,0,$0.00,0,1,$0.00
2515,DORRIS 315TR25 SHAFT MOUNTED SPEED REDUCER,CV-1830,No,,DRYER A,,0,$0.00,0,0,$0.00
2524,"CONTINENTAL , CHAIN, MODEL HB-25"", 80275 KG/HR, 80 FPM",CV-1830,No,,DRYER A,,0,$0.00,247.5,0,$247.50
2491,10 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#215T,CV-1831,No,,DRYER A,,0,$0.00,0,1,$0.00
2516,DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER,CV-1831,No,,DRYER A,,0,$0.00,0,0,$0.00
2525,"CONTINENTAL , SCREW, 14"" DIA x 9'-11"" LG, 12041 KG/HR, 30 RPM",CV-1831,No,,DRYER A,,0,$0.00,0,0,$0.00
2492,10 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#215T,CV-1832,No,,DRYER A,,0,$0.00,0,1,$0.00
2517,DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER,CV-1832,No,,DRYER A,,0,$0.00,0,0,$0.00
2526,"CONTINENTAL , SCREW, 14"" DIA x 9'-11"" LG, 12041 KG/HR, 30 RPM",CV-1832,No,,DRYER A,,0,$0.00,0,0,$0.00
2493,7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T,CV-1833,No,,DRYER A,,0,$0.00,0,1,$0.00
2518,DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER,CV-1833,No,,DRYER A,,0,$0.00,0,0,$0.00
2527,"CONTINENTAL , SCREW, 20"" DIA x 9'-1 13/16"" LG, 53890 KG/HR, 35 RPM",CV-1833,No,,DRYER A,,0,$0.00,67.5,0,$67.50
2494,7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T,CV-1834,No,,DRYER A,,0,$0.00,0,1,$0.00
2519,DORRIS 203TR25 SHAFT MOUNTED SPEED REDUCER,CV-1834,No,,DRYER A,,0,$0.00,0,0,$0.00
2528,"CONTINENTAL , SCREW, 14"" DIA x 20'-2"" LG, 15606 KG/HR, 44 RPM",CV-1834,No,,DRYER A,,0,$0.00,0,0,$0.00
2495,10 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#215T,CV-1835,No,,DRYER A,,0,$0.00,0,1,$0.00
2520,DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER,CV-1835,No,,DRYER A,,0,$0.00,0,0,$0.00
2529,"TRAMCO, CHAIN, BULK FLO 15 x 8, 2062 CFH, 99.5 FPM",CV-1835,No,,DRYER A,,0,$0.00,805,0,$805.00
2496,20 HP / 1760 RPM / TEFC / 575V/3PH/60HZ / FRAME#256T,CV-1836,No,,DRYER A,,0,$0.00,0,1,$0.00
2521,DORRIS 407TR40 SHAFT MOUNTED SPEED REDUCER,CV-1836,No,,DRYER A,,0,$0.00,0,0,$0.00
2530,"TRAMCO, CHAIN, BULK FLO 20 x 8, 3375 CFH, 100.1 FPM",CV-1836,No,,DRYER A,,0,$0.00,0,0,$0.00
1443,DRYER D CYCLONE 1,CY-1801D,No,,DRYER D,,8217.5,"$8,217.50",9863.5,1,"$9,863.50"
1445,DRYER D CYLONE 2,CY-1802D,No,,DRYER D,,10087,"$10,087.00",10267,1,"$10,267.00"
1447,DRYER D CYCLONE 3,CY-1803D,No,,DRYER D,,3920,"$3,920.00",6912,1,"$6,912.00"
1449,DRYER D CYCLONE 4,CY-1804D,No,,DRYER D,,6040,"$6,040.00",6130,1,"$6,130.00"
1450,"CYCLONE ASSEMBLY, FEDCO MFG, 12'-0"" DIA",CY-1823,No,,DRYER A,,22.5,$22.50,21759.01,1,"$21,759.01"
